City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Manzanillo,CU,20.3433,-77.1167,96.84,38,10,3.2,clear sky
228,Iqaluit,CA,63.7506,-68.5145,47.93,61,20,5.75,few clouds
229,Egvekinot,RU,66.3167,-179.1667,36.9,90,100,20.4,overcast clouds
230,Yukamenskoye,RU,57.8865,52.2416,46.87,92,57,5.44,broken clouds
231,Kalmunai,LK,7.4167,81.8167,78.98,80,11,6.26,few clouds
232,Harer,ET,9.3094,42.1258,62.65,78,99,3.6,overcast clouds
233,Tamiahua,MX,21.2667,-97.45,77.52,84,100,2.86,overcast clouds
234,Tilichiki,RU,60.4667,166.1,36.01,77,71,11.25,broken clouds
235,Pontes E Lacerda,BR,-15.2261,-59.3353,96.12,23,12,3.11,few clouds
236,Ossora,RU,59.2353,163.0719,43.86,61,0,16.64,clear sky
237,Kruisfontein,ZA,-34.0033,24.7314,59.49,81,100,10.16,overcast clouds
238,Lingyuan,CN,41.24,119.4011,58.82,71,100,2.48,overcast clouds
239,Constitucion,CL,-35.3333,-72.4167,56.19,88,100,10.78,overcast clouds
240,Hwange,ZW,-18.3693,26.5019,72.23,32,0,2.51,clear sky
241,Cayenne,GF,4.9333,-52.3333,89.64,66,40,12.66,scattered clouds
242,Komatipoort,ZA,-25.4332,31.9548,70.05,63,0,2.75,clear sky
243,Faya,SA,18.3851,42.4509,69.91,42,79,2.17,broken clouds
244,Meulaboh,ID,4.1363,96.1285,75.72,90,100,3.36,overcast clouds
245,New Norfolk,AU,-42.7826,147.0587,47.7,85,98,1.99,overcast clouds
246,Iwanai,JP,42.9744,140.5089,63.79,90,99,5.77,light rain
247,Myitkyina,MM,25.3833,97.4,72.59,99,85,0.94,overcast clouds
248,Northam,GB,51.0333,-4.2167,57.61,71,30,13.78,scattered clouds
249,Brooks,CA,50.5834,-111.8851,62.22,28,100,10.96,overcast clouds
250,San Patricio,US,28.017,-97.5169,93.29,46,68,9.4,broken clouds
251,Gat,IL,31.61,34.7642,79.48,100,0,6.29,clear sky
252,Te Anau,NZ,-45.4167,167.7167,37.33,87,62,1.23,broken clouds
253,Zakamensk,RU,50.3741,103.2863,31.24,97,100,3.18,overcast clouds
254,Alekseyevka,RU,50.6309,38.6903,58.75,94,50,6.38,scattered clouds
255,Omurtag,BG,43.1,26.4167,68.9,74,100,4.12,overcast clouds
256,Skibbereen,IE,51.55,-9.2667,58.1,77,5,4.23,clear sky
257,Okhotsk,RU,59.3833,143.3,39.31,60,4,15.5,clear sky
258,Mamboma,SL,8.0833,-11.6833,73.58,99,100,2.93,overcast clouds
259,Lethem,GY,3.3803,-59.7968,89.01,54,84,1.54,broken clouds
260,Filadelfia,US,39.9523,-75.1638,80.19,46,20,5.75,few clouds
261,Half Moon Bay,US,37.4636,-122.4286,81.88,68,0,6.91,clear sky
262,Lompoc,US,34.6391,-120.4579,82.02,62,0,16.11,clear sky
263,Waipawa,NZ,-41.4122,175.5153,41.95,79,2,4.56,clear sky
264,Santa Cruz,BO,-17.8,-63.1667,87.26,26,20,8.05,few clouds
265,Owosso,US,42.9978,-84.1766,83.86,53,40,4.61,scattered clouds
266,Barcelos,PT,41.5388,-8.6151,71.92,83,2,2.13,clear sky
267,Bogovina,RS,43.895,21.9403,68.05,90,9,4.05,clear sky
268,Clarksburg,US,39.2807,-80.3445,82.51,55,75,0.0,broken clouds
269,Naze,JP,28.3667,129.4833,77.92,90,100,26.49,moderate rain
270,Novyy Svit,UA,47.8059,38.0211,63.9,93,17,9.4,few clouds
271,Lieksa,FI,63.3167,30.0167,49.6,90,100,7.52,overcast clouds
272,Taoudenni,ML,22.6783,-3.9836,99.79,12,0,11.36,clear sky
273,Golden,US,39.7555,-105.2211,83.05,26,75,5.99,broken clouds
274,Husavik,IS,66.0449,-17.3389,44.87,80,80,1.39,broken clouds
275,Carnarvon,AU,-24.8667,113.6333,64.92,55,0,12.64,clear sky
276,Srivardhan,IN,18.0333,73.0167,77.85,89,100,6.89,overcast clouds
277,Batagay,RU,67.6333,134.6333,34.61,78,100,6.6,overcast clouds
278,Lahij,YE,13.1667,44.5833,89.22,36,100,6.64,overcast clouds
279,Santa Fe,AR,-31.6333,-60.7,81.01,33,44,11.99,light rain
280,Miandrivazo,MG,-19.5167,45.4667,73.29,71,3,1.79,clear sky
281,Kodiak,US,57.79,-152.4072,49.51,93,100,3.44,moderate rain
282,Zhovtneve,UA,50.6637,24.2492,54.1,72,81,4.34,broken clouds
283,San Jose,US,37.3394,-121.895,81.84,49,0,5.75,clear sky
284,La Paz,BO,-16.5,-68.15,60.78,33,75,6.91,broken clouds
285,Ponta Do Sol,PT,32.6667,-17.1,75.83,83,2,3.91,clear sky
286,Kedrovyy,RU,56.1667,91.8167,30.61,64,100,2.71,overcast clouds
287,Guiratinga,BR,-16.3494,-53.7583,94.48,24,58,8.3,broken clouds
288,Pemangkat,ID,1.1667,108.9667,77.56,88,99,4.47,light rain
289,Kirakira,SB,-10.4544,161.9205,79.38,83,28,4.88,scattered clouds
290,Alta Floresta,BR,-9.8756,-56.0861,98.42,34,20,6.91,smoke
291,Haines Junction,CA,60.7522,-137.5108,48.15,61,51,2.3,broken clouds
292,Saint-Joseph,RE,-21.3667,55.6167,68.38,82,37,15.21,light rain
293,Juneau,US,58.3019,-134.4197,54.99,92,75,5.75,light rain
294,Hofgeismar,DE,51.4833,9.4,54.05,74,94,14.61,overcast clouds
295,Rawatsar,IN,29.2833,74.3833,84.96,62,0,17.83,clear sky
296,Goma,CD,-1.6792,29.2228,63.88,80,44,3.89,scattered clouds
297,Nemuro,JP,43.3236,145.575,63.95,86,100,8.48,overcast clouds
298,Markova,UA,48.6758,24.4138,53.28,86,100,4.97,overcast clouds
